 X,Y,Z,U,V,Vr,P,T,rho,Mach
    -0.16201,    -0.28062,     0.00000,804226.03270,-98275.50566,810208.36004,************,************,    -0.82702,         NaN
    -0.19046,    -0.26214,     0.00000,429065.45660,-68530.71562,434503.88379,************,************,    -2.78502,         NaN
    -0.21682,    -0.24080,     0.00000,************,************,************,************,************,    -1.49507,         NaN
    -0.24080,    -0.21682,     0.00000,************,289284.27877,************,************,************,     9.19055,         NaN
    -0.26214,    -0.19046,     0.00000,************,************,************,************,************,    35.65213,         NaN
    -0.28062,    -0.16201,     0.00000,245133.62555,-45268.83967,249278.48327,************,************,    75.27866,         NaN
    -0.29601,    -0.13179,     0.00000,************,155791.91083,************,************,************,   110.29022,         NaN
    -0.30817,    -0.10013,     0.00000,-32316.86491,  3074.63015, 32462.79576,************,************,   118.51634,         NaN
    -0.31695,    -0.06737,     0.00000,-20894.65042,  2162.71455, 21006.27883,************,************,    93.45158,         NaN
    -0.32225,    -0.03387,     0.00000,-22244.38273,  3301.50578, 22488.05246,************,************,    48.64676,         NaN
    -0.32403,     0.00000,     0.00000,-97104.43710, 20025.88570, 99147.90871,************,************,     3.67825,         NaN
    -0.32225,     0.03387,     0.00000, -4496.96248,   577.16785,  4533.84983,************,-15840.97208,   -28.93171,         NaN
    -0.31695,     0.06737,     0.00000, -8913.06413,  1869.65999,  9107.04895,************,-60641.70705,   -45.96884,         NaN
    -0.30817,     0.10013,     0.00000,-13597.30992,  3106.79908, 13947.72517,************,************,   -49.71586,         NaN
    -0.29601,     0.13179,     0.00000,-55066.13898, 11590.37823, 56272.69791,************,************,   -44.16689,         NaN
    -0.28062,     0.16201,     0.00000, 38798.00109,  -708.29647, 38804.46588,************,************,   -33.12536,         NaN
    -0.26214,     0.19046,     0.00000,155063.26620,-30937.64779,158119.43137,************,************,   -19.67023,         NaN
    -0.24080,     0.21682,     0.00000,************, 35861.57891,172776.83402,************,************,    -6.18907,         NaN
    -0.21682,     0.24080,     0.00000, 53455.45573,-11506.39489, 54679.82142,************,************,     5.49041,         NaN
    -0.19046,     0.26214,     0.00000,  8931.40328, -1700.53206,  9091.85205,************,-62562.39190,    14.05835,         NaN
    -0.16201,     0.28062,     0.00000,  3129.52818,  -348.42916,  3148.86479,************, -7301.76956,    18.81241,         NaN
    -0.13179,     0.29601,     0.00000,  1445.30418,    68.92040,  1446.94651,************,  -749.30290,    19.84337,         NaN
    -0.10013,     0.30817,     0.00000,   831.52322,   177.24305,   850.20349,************,   490.23409,    17.54814,     1.91565
