 X,Y,Z,U,V,P
     0.37500,    -0.30769,     0.00000,    -0.03880,     0.01222,    -0.16490
     0.37500,    -0.26923,     0.00000,    -0.04394,     0.01613,    -0.16497
     0.37500,    -0.23077,     0.00000,    -0.04680,     0.01990,    -0.16506
     0.37500,    -0.19231,     0.00000,    -0.04634,     0.02312,    -0.16518
     0.37500,    -0.15385,     0.00000,    -0.04094,     0.02530,    -0.16531
     0.37500,    -0.11538,     0.00000,    -0.02751,     0.02581,    -0.16543
     0.37500,    -0.07692,     0.00000,     0.00066,     0.02381,    -0.16549
     0.37500,    -0.03846,     0.00000,     0.05795,     0.01834,    -0.16546
     0.37500,     0.00000,     0.00000,     0.17023,     0.00893,    -0.16530
     0.37500,     0.03846,     0.00000,     0.36704,    -0.00261,    -0.16506
     0.37500,     0.07692,     0.00000,     0.64309,    -0.01104,    -0.16475
     0.37500,     0.11538,     0.00000,     0.93335,    -0.01464,    -0.16425
     0.37500,     0.15385,     0.00000,     1.17469,    -0.01628,    -0.16345
     0.37500,     0.19231,     0.00000,     1.34800,    -0.01691,    -0.16237
     0.37500,     0.23077,     0.00000,     1.45081,    -0.01673,    -0.16108
     0.37500,     0.26923,     0.00000,     1.48290,    -0.01584,    -0.15973
     0.37500,     0.30769,     0.00000,     1.44423,    -0.01430,    -0.15845
     0.37500,     0.34615,     0.00000,     1.33479,    -0.01218,    -0.15736
     0.37500,     0.38462,     0.00000,     1.15463,    -0.00952,    -0.15656
     0.37500,     0.42308,     0.00000,     0.90400,    -0.00640,    -0.15606
     0.37500,     0.46154,     0.00000,     0.58447,    -0.00298,    -0.15586
     0.37500,     0.50000,     0.00000,     0.00000,     0.00000,    -0.15583
     0.41250,    -0.50000,     0.00000,     0.00000,     0.00000,    -0.16494
     0.41250,    -0.46154,     0.00000,    -0.01124,     0.00092,    -0.16493
     0.41250,    -0.42308,     0.00000,    -0.01936,     0.00271,    -0.16490
     0.41250,    -0.38462,     0.00000,    -0.02763,     0.00527,    -0.16489
     0.41250,    -0.34615,     0.00000,    -0.03555,     0.00846,    -0.16490
     0.41250,    -0.30769,     0.00000,    -0.04245,     0.01207,    -0.16493
     0.41250,    -0.26923,     0.00000,    -0.04759,     0.01583,    -0.16499
     0.41250,    -0.23077,     0.00000,    -0.05009,     0.01940,    -0.16508
     0.41250,    -0.19231,     0.00000,    -0.04883,     0.02237,    -0.16520
     0.41250,    -0.15385,     0.00000,    -0.04210,     0.02427,    -0.16532
     0.41250,    -0.11538,     0.00000,    -0.02666,     0.02451,    -0.16543
