X,Y,Z,U,V,P
0.002000,0.003250,0.000000,-0.137253,0.234124,0.017045
0.002000,0.003500,0.000000,-0.124457,0.248624,0.012646
0.002000,0.003750,0.000000,-0.109896,0.261350,0.008275
0.002000,0.004000,0.000000,-0.094081,0.272334,0.004075
0.002000,0.004250,0.000000,-0.077442,0.281617,0.000174
0.002000,0.004500,0.000000,-0.060339,0.289246,-0.003316
0.002000,0.004750,0.000000,-0.043067,0.295260,-0.006306
0.002000,0.005000,0.000000,-0.025872,0.299691,-0.008723
0.002000,0.005250,0.000000,-0.008967,0.302557,-0.010519
0.002000,0.005500,0.000000,0.007459,0.303865,-0.011661
0.002000,0.005750,0.000000,0.023230,0.303612,-0.012139
0.002000,0.006000,0.000000,0.038171,0.301785,-0.011955
0.002000,0.006250,0.000000,0.052104,0.298365,-0.011127
0.002000,0.006500,0.000000,0.064840,0.293325,-0.009682
0.002000,0.006750,0.000000,0.076173,0.286630,-0.007660
0.002000,0.007000,0.000000,0.085884,0.278239,-0.005106
0.002000,0.007250,0.000000,0.093733,0.268098,-0.002067
0.002000,0.007500,0.000000,0.099470,0.256139,0.001405
0.002000,0.007750,0.000000,0.102836,0.242273,0.005261
0.002000,0.008000,0.000000,0.103582,0.226386,0.009452
0.002000,0.008250,0.000000,0.101489,0.208323,0.013924
0.002000,0.008500,0.000000,0.096399,0.187884,0.018609
0.002000,0.008750,0.000000,0.088330,0.164812,0.023407
0.002000,0.009000,0.000000,0.078391,0.138792,0.028157
0.002000,0.009250,0.000000,0.075770,0.109369,0.032618
0.002000,0.009500,0.000000,0.128151,0.075554,0.036528
0.002000,0.009750,0.000000,0.375943,0.036478,0.039913
0.002000,0.010000,0.000000,1.460408,0.000000,0.041513
0.002250,0.000000,0.000000,0.000000,0.000000,0.037149
0.002250,0.000250,0.000000,-0.016124,0.004490,0.037324
0.002250,0.000500,0.000000,-0.037797,0.014369,0.037643
0.002250,0.000750,0.000000,-0.065700,0.029855,0.037830
0.002250,0.001000,0.000000,-0.095827,0.050032,0.037727
0.002250,0.001250,0.000000,-0.124039,0.073106,0.037171
0.002250,0.001500,0.000000,-0.147369,0.097274,0.036031
0.002250,0.001750,0.000000,-0.164436,0.121252,0.034226
0.002250,0.002000,0.000000,-0.175031,0.144278,0.031732
0.002250,0.002250,0.000000,-0.179571,0.165937,0.028581
0.002250,0.002500,0.000000,-0.178747,0.185999,0.024846
0.002250,0.002750,0.000000,-0.173342,0.204344,0.020638
0.002250,0.003000,0.000000,-0.164149,0.220911,0.016094
0.002250,0.003250,0.000000,-0.151926,0.235690,0.011365
0.002250,0.003500,0.000000,-0.137367,0.248704,0.006605
0.002250,0.003750,0.000000,-0.121087,0.260010,0.001963
0.002250,0.004000,0.000000,-0.103608,0.269678,-0.002421
0.002250,0.004250,0.000000,-0.085366,0.277786,-0.006429
0.002250,0.004500,0.000000,-0.066713,0.284408,-0.009958
0.002250,0.004750,0.000000,-0.047934,0.289604,-0.012928
0.002250,0.005000,0.000000,-0.029260,0.293413,-0.015277
0.002250,0.005250,0.000000,-0.010888,0.295857,-0.016961
0.002250,0.005500,0.000000,0.007011,0.296932,-0.017956
0.002250,0.005750,0.000000,0.024270,0.296620,-0.018250
0.002250,0.006000,0.000000,0.040727,0.294886,-0.017848
0.002250,0.006250,0.000000,0.056212,0.291686,-0.016765
0.002250,0.006500,0.000000,0.070541,0.286967,-0.015029
0.002250,0.006750,0.000000,0.083521,0.280668,-0.012673
0.002250,0.007000,0.000000,0.094941,0.272718,-0.009743
0.002250,0.007250,0.000000,0.104579,0.263035,-0.006287
0.002250,0.007500,0.000000,0.112201,0.251520,-0.002359
0.002250,0.007750,0.000000,0.117577,0.238054,0.001982
0.002250,0.008000,0.000000,0.120487,0.222493,0.006671
0.002250,0.008250,0.000000,0.120748,0.204661,0.011631
0.002250,0.008500,0.000000,0.118240,0.184356,0.016764
0.002250,0.008750,0.000000,0.113016,0.161350,0.021931
0.002250,0.009000,0.000000,0.106264,0.135393,0.026943
0.002250,0.009250,0.000000,0.107489,0.106107,0.031545
0.002250,0.009500,0.000000,0.164444,0.072595,0.035497
0.002250,0.009750,0.000000,0.413002,0.034455,0.038805
0.002250,0.010000,0.000000,1.460408,0.000000,0.040326
0.002500,0.000000,0.000000,0.000000,0.000000,0.036299
0.002500,0.000250,0.000000,-0.024024,0.005532,0.036493
0.002500,0.000500,0.000000,-0.051497,0.017234,0.036816
0.002500,0.000750,0.000000,-0.084555,0.034757,0.036910
0.002500,0.001000,0.000000,-0.118176,0.056455,0.036582
0.002500,0.001250,0.000000,-0.147951,0.080152,0.035658
0.002500,0.001500,0.000000,-0.171345,0.104117,0.034021
0.002500,0.001750,0.000000,-0.187565,0.127308,0.031625
0.002500,0.002000,0.000000,-0.196822,0.149183,0.028486
0.002500,0.002250,0.000000,-0.199770,0.169469,0.024673
0.002500,0.002500,0.000000,-0.197222,0.188029,0.020297
0.002500,0.002750,0.000000,-0.190031,0.204794,0.015498
0.002500,0.003000,0.000000,-0.179039,0.219745,0.010436
0.002500,0.003250,0.000000,-0.165046,0.232909,0.005274
0.002500,0.003500,0.000000,-0.148777,0.244350,0.000173
0.002500,0.003750,0.000000,-0.130869,0.254161,-0.004716
0.002500,0.004000,0.000000,-0.111857,0.262455,-0.009263
0.002500,0.004250,0.000000,-0.092173,0.269344,-0.013357
0.002500,0.004500,0.000000,-0.072157,0.274931,-0.016909
0.002500,0.004750,0.000000,-0.052072,0.279294,-0.019848
0.002500,0.005000,0.000000,-0.032126,0.282485,-0.022123
0.002500,0.005250,0.000000,-0.012486,0.284523,-0.023697
0.002500,0.005500,0.000000,0.006696,0.285396,-0.024551
0.002500,0.005750,0.000000,0.025276,0.285069,-0.024677
0.002500,0.006000,0.000000,0.043104,0.283485,-0.024078
